0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.3125,0.00145395,0.89464,0.121076,0.0109091,1,0,0,0.755274,0,0.0531037,0.0897807,0,0.106828,0.5875,0,0,1,0.0481691,0.0481691,0
0.3125,0.00145395,0.89464,0.121076,0.0109091,1,0,0,0.755274,0,0.0531037,0.0897807,0,0.106828,0.5875,0,0,1,0.0481691,0.0481691,0
0.3125,0.00037093,0.0020611,0.121076,0.614545,0.838323,0,0.660377,1,0,0.0322928,0.259412,0,0.573789,1,0,0,1,1,1,0
1,5.83871e-05,0.896319,0,0.614545,0.838323,0,0.660377,1,0,0.0322928,0.259412,0,0.573789,1,0,0,1,1,1,0
1,0.000620506,0.0517412,0,0.00363636,0,0,0,0,0,0,0.0045511,0,0.00881057,0.025,0,0,1,0.00209667,0.00209667,0
0.3125,0.00269497,0.750561,0.116592,0.614545,0.838323,0,0.660377,1,0,0.0322928,0.259412,0,0.573789,1,0,0,1,1,1,0
1,0.00014654,0.000809173,0,0.614545,0.838323,0,0.660377,1,0,0.0322928,0.259412,0,0.573789,1,0,0,1,1,1,0
1,0.00014654,0.000809173,0,0.614545,0.838323,0,0.660377,1,0,0.0322928,0.259412,0,0.573789,1,0,0,1,1,1,0
0.3125,2.28969e-05,0.918045,0.0717489,0.0109091,0.011976,0,0.0566038,0,0,0.0136347,0.0211005,0,0.00881057,0.1125,0,0,1,0.0305118,0.0305118,0
0.3125,2.28969e-05,0.918045,0.0717489,0.0109091,0.011976,0,0.0566038,0,0,0.0136347,0.0211005,0,0.00881057,0.1125,0,0,1,0.0305118,0.0305118,0
1,7.32701e-05,0.00209163,0,0,0,0,0,0,0,0.00143524,0.00165494,0,0,0,0,0,1,5.20874e-05,5.20874e-05,0
0.3125,2.28969e-05,0.918045,0.0717489,0.0109091,0.011976,0,0.0566038,0,0,0.0136347,0.0211005,0,0.00881057,0.1125,0,0,1,0.0305118,0.0305118,0
1,7.32701e-05,0.00209163,0,0,0,0,0,0,0,0.00143524,0.00165494,0,0,0,0,0,1,5.20874e-05,5.20874e-05,0
1,7.32701e-05,0.00209163,0,0,0,0,0,0,0,0.00143524,0.00165494,0,0,0,0,0,1,5.20874e-05,5.20874e-05,0
1,7.32701e-05,0.00209163,0,0,0,0,0,0,0,0.00143524,0.00165494,0,0,0,0,0,1,5.20874e-05,5.20874e-05,0
0.3125,0.000248432,0.00676346,0.107623,0.0363636,0.00598802,0,0,0.00421941,0,0,0.0227555,0,0.0363436,0.125,0,0,1,0.012708,0.012708,0
1,0.000329716,0.000809173,0,0.614545,0.838323,0,0.660377,1,0,0.0322928,0.259412,0,0.573789,1,0,0,1,1,1,0
0.3125,0.00417296,0.99942,0.107623,0.0254545,0.0778443,0,0,0.0590717,0,0.0283459,0.0500621,0,0.0187225,0.275,0,0,1,0.0112251,0.0112251,0
1,5.26629e-05,0.000809173,0,0.614545,0.838323,0,0.660377,1,0,0.0322928,0.259412,0,0.573789,1,0,0,1,1,1,0
0.3125,0.000248432,0.00676346,0.107623,0.0363636,0.00598802,0,0,0.00421941,0,0,0.0227555,0,0.0363436,0.125,0,0,1,0.012708,0.012708,0
0.3125,0.00183404,0.0020611,0.121076,0.614545,0.838323,0,0.660377,1,0,0.0322928,0.259412,0,0.573789,1,0,0,1,1,1,0
1,5.26629e-05,0.000809173,0,0.614545,0.838323,0,0.660377,1,0,0.0322928,0.259412,0,0.573789,1,0,0,1,1,1,0
0.3125,0.00037093,0.0020611,0.121076,0.614545,0.838323,0,0.660377,1,0,0.0322928,0.259412,0,0.573789,1,0,0,1,1,1,0
1,4.12145e-05,0.790485,0,0.0218182,0.0598802,0,0,0.0590717,0,0.0251166,0.021928,0,0.00440529,0.1,0,0,1,0.010785,0.010785,0
0.3125,0.00183404,0.0020611,0.121076,0.614545,0.838323,0,0.660377,1,0,0.0322928,0.259412,0,0.573789,1,0,0,1,1,1,0
0.3125,0.000439621,0.566696,0.121076,0.0109091,1,0,0,0.755274,0,0.0531037,0.0897807,0,0.106828,0.5875,0,0,1,0.0481691,0.0481691,0
0.3125,0.00675001,0.790027,0.995516,0.08,0.359281,0,0.113208,0.295359,0,0.0362397,0.087712,0,0.129956,0.575,0,0,1,0.199776,0.199776,0
0.3125,0.00183404,0.0020611,0.121076,0.614545,0.838323,0,0.660377,1,0,0.0322928,0.259412,0,0.573789,1,0,0,1,1,1,0
1,0.000100746,0.909174,0,0.0218182,0.0598802,0,0,0.0590717,0,0.0251166,0.021928,0,0.00440529,0.1,0,0,1,0.010785,0.010785,0
0.3125,0.000315977,0.754439,0.107623,0.0109091,0.011976,0,0.0566038,0,0,0.0136347,0.0211005,0,0.00881057,0.1125,0,0,1,0.0305118,0.0305118,0
0.3125,0.000439621,0.566696,0.121076,0.0109091,1,0,0,0.755274,0,0.0531037,0.0897807,0,0.106828,0.5875,0,0,1,0.0481691,0.0481691,0
1,0.000144251,0.95432,0,0.0145455,0,0,0,0,0,0.00609975,0.00827472,0,0.00660793,0.075,0,0,1,0.00375347,0.00375347,0
1,0.000144251,0.95432,0,0.0145455,0,0,0,0,0,0.00609975,0.00827472,0,0.00660793,0.075,0,0,1,0.00375347,0.00375347,0
